timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-9.85,0.27,-0.41,-2.56,1.22,0.31
10,-9.85,0.27,-0.41,-2.56,1.22,0.31
20,-9.85,0.27,-0.41,-2.56,1.22,0.31
30,-9.85,0.27,-0.41,-2.56,1.22,0.31
40,-9.85,0.27,-0.41,-2.56,1.22,0.31
50,-9.85,0.27,-0.41,-2.56,1.22,0.31
60,-9.85,0.27,-0.41,-2.56,1.22,0.31
70,-9.85,0.27,-0.41,-2.56,1.22,0.31
80,-9.85,0.27,-0.41,-2.56,1.22,0.31
90,-9.85,0.27,-0.41,-2.56,1.22,0.31
100,-9.85,0.27,-0.41,-2.56,1.22,0.31
110,-9.85,0.27,-0.41,-2.56,1.22,0.31
120,-9.85,0.27,-0.41,-2.56,1.22,0.31
130,-9.85,0.27,-0.41,-2.56,1.22,0.31
140,-9.85,0.27,-0.41,-2.56,1.22,0.31
150,-9.85,0.27,-0.41,-2.56,1.22,0.31
160,-9.85,0.27,-0.41,-2.56,1.22,0.31
170,-9.85,0.27,-0.41,-2.56,1.22,0.31
180,-9.85,0.27,-0.41,-2.56,1.22,0.31
190,-9.85,0.27,-0.41,-2.56,1.22,0.31
200,-9.85,0.27,-0.41,-2.56,1.22,0.31
210,-9.85,0.27,-0.41,-2.56,1.22,0.31
220,-9.85,0.27,-0.41,-2.56,1.22,0.31
230,-9.85,0.27,-0.41,-2.56,1.22,0.31
240,-9.85,0.27,-0.41,-2.56,1.22,0.31
250,-9.85,0.27,-0.41,-2.56,1.22,0.31
260,-9.85,0.27,-0.41,-2.56,1.22,0.31
270,-9.85,0.27,-0.41,-2.56,1.22,0.31
280,-9.85,0.27,-0.41,-2.56,1.22,0.31
290,-9.85,0.27,-0.41,-2.56,1.22,0.31
300,-9.85,0.27,-0.41,-2.56,1.22,0.31
310,-9.85,0.27,-0.41,-2.56,1.22,0.31
320,-9.85,0.27,-0.41,-2.56,1.22,0.31
330,-9.85,0.27,-0.41,-2.56,1.22,0.31
340,-9.85,0.27,-0.41,-2.56,1.22,0.31
350,-9.85,0.27,-0.41,-2.56,1.22,0.31
360,-9.85,0.27,-0.41,-2.56,1.22,0.31
370,-9.85,0.27,-0.41,-2.56,1.22,0.31
380,-9.85,0.27,-0.41,-2.56,1.22,0.31
390,-9.85,0.27,-0.41,-2.56,1.22,0.31
400,-9.85,0.27,-0.41,-2.56,1.22,0.31
410,-9.85,0.27,-0.41,-2.56,1.22,0.31
420,-9.85,0.27,-0.41,-2.56,1.22,0.31
430,-9.85,0.27,-0.41,-2.56,1.22,0.31
440,-9.85,0.27,-0.41,-2.56,1.22,0.31
450,-9.85,0.27,-0.41,-2.56,1.22,0.31
460,-9.85,0.27,-0.41,-2.56,1.22,0.31
470,-9.85,0.27,-0.41,-2.56,1.22,0.31
