timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-9.85,0.27,-0.41,-2.56,1.22,0.31
10,-9.85,0.27,-0.41,-2.56,1.22,0.31
20,-9.85,0.27,-0.41,-2.56,1.22,0.31
30,-9.85,0.27,-0.41,-2.56,1.22,0.31
40,-9.85,0.27,-0.41,-2.56,1.22,0.31
50,-9.85,0.27,-0.41,-2.56,1.22,0.31
60,-9.85,0.27,-0.41,-2.56,1.22,0.31
70,-9.85,0.27,-0.41,-2.56,1.22,0.31
80,-9.85,0.27,-0.41,-2.56,1.22,0.31
90,-9.85,0.27,-0.41,-2.56,1.22,0.31
100,-9.85,0.27,-0.41,-2.56,1.22,0.31
110,-9.85,0.27,-0.41,-2.56,1.22,0.31
120,-9.85,0.27,-0.41,-2.56,1.22,0.31
130,-9.85,0.27,-0.41,-2.56,1.22,0.31
140,-9.85,0.27,-0.41,-2.56,1.22,0.31
150,-9.85,0.27,-0.41,-2.56,1.22,0.31
160,-9.85,0.27,-0.41,-2.56,1.22,0.31
170,-9.85,0.27,-0.41,-2.56,1.22,0.31
180,-9.85,0.27,-0.41,-2.56,1.22,0.31
190,-9.85,0.27,-0.41,-2.56,1.22,0.31
200,-9.85,0.27,-0.41,-2.56,1.22,0.31
210,-9.85,0.27,-0.41,-2.56,1.22,0.31
220,-9.85,0.27,-0.41,-2.56,1.22,0.31
230,-9.85,0.27,-0.41,-2.56,1.22,0.31
240,-9.85,0.27,-0.41,-2.56,1.22,0.31
250,-9.85,0.27,-0.41,-2.56,1.22,0.31
260,-9.85,0.27,-0.41,-2.56,1.22,0.31
270,-9.85,0.27,-0.41,-2.56,1.22,0.31
280,-9.85,0.27,-0.41,-2.56,1.22,0.31
290,-9.85,0.27,-0.41,-2.56,1.22,0.31
301,-9.85,0.27,-0.41,-2.56,1.22,0.31
311,-9.85,0.27,-0.41,-2.56,1.22,0.31
321,-9.85,0.27,-0.41,-2.56,1.22,0.31
331,-9.85,0.27,-0.41,-2.56,1.22,0.31
341,-9.85,0.27,-0.41,-2.56,1.22,0.31
351,-9.85,0.27,-0.41,-2.56,1.22,0.31
361,-9.85,0.27,-0.41,-2.56,1.22,0.31
371,-9.85,0.27,-0.41,-2.56,1.22,0.31
381,-9.85,0.27,-0.41,-2.56,1.22,0.31
391,-9.85,0.27,-0.41,-2.56,1.22,0.31
401,-9.85,0.27,-0.41,-2.56,1.22,0.31
411,-9.85,0.27,-0.41,-2.56,1.22,0.31
421,-9.85,0.27,-0.41,-2.56,1.22,0.31
431,-9.85,0.27,-0.41,-2.56,1.22,0.31
441,-9.85,0.27,-0.41,-2.56,1.22,0.31
451,-9.85,0.27,-0.41,-2.56,1.22,0.31
461,-9.85,0.27,-0.41,-2.56,1.22,0.31
471,-9.85,0.27,-0.41,-2.56,1.22,0.31
